Number,Name,Rx Freq,Tx Freq,Ch Mode,Power,Rx Tone,Tx Tone,Color Code,Rx Group List,Contact,Repeater Slot
0,OK0AA-Mesnice,"145,66250","145,06250",Analog,High,"103,5","103,5",0,0,0,1
1,OK0ABA-Brno,"145,61250","145,01250",Analog,High,None,"103,5",0,0,0,1
2,OK0ACC-Obecnice,"145,76250","145,16250",Analog,High,"136,5","136,5",0,0,0,1
3,OK0AD-Ostrava,"145,60000","145,00000",Analog,High,None,"88,5",0,0,0,1
4,OK0AE-Krkavec,"145,61250","145,01250",Analog,High,None,None,0,0,0,1
5,OK0AG-Trebic,"145,60000","145,00000",Analog,High,None,None,0,0,0,1
6,OK0AH-UherskyBrod,"145,73750","145,13750",Analog,High,None,None,0,0,0,1
7,OK0B-Jablonec,"145,72500","145,12500",Analog,High,None,None,0,0,0,1
8,OK0BA-Mesnice,"439,37500","431,77500",Analog,High,"88,5","88,5",0,0,0,1
9,OK0BAB-Brno,"438,92500","431,32500",Analog,High,None,"88,5",0,0,0,1
10,OK0BAC-Pisek,"438,75000","431,15000",Analog,High,"88,5","88,5",0,0,0,1
11,OK0BAF-Svratouch,"438,85000","431,25000",Analog,High,"136,5","88,5",0,0,0,1
12,OK0BAJ-HolyVrch,"439,32500","431,72500",Analog,High,None,"88,5",0,0,0,1
13,OK0BAP-Litomysl,"439,30000","431,70000",Analog,High,"88,5","88,5",0,0,0,1
14,OK0BBF-SuchyVrch,"439,12500","431,52500",Analog,High,"88,5","88,5",0,0,0,1
15,OK0BBK-Kozakov,"439,07500","431,47500",Analog,High,None,None,0,0,0,1
16,OK0BC-LysaHora,"438,70000","431,10000",Analog,High,None,"136,5",0,0,0,1
17,OK0BCA-LisciHora,"438,87500","431,27500",Analog,High,"203,5","203,5",0,0,0,1
18,OK0BCN-Nachod,"438,77500","431,17500",Analog,High,"82,5","82,5",0,0,0,1
19,OK0BD-Ostrava,"438,65000","431,05000",Analog,High,None,"82,5",0,0,0,1
20,OK0BDL-LysaHora,"439,42500","431,82500",Analog,High,None,"82,5",0,0,0,1
21,OK0BDV-DobrVoda,"438,92500","431,32500",Analog,High,"88,5","88,5",0,0,0,1
22,OK0BE-Klinovec,"438,65000","431,05000",Analog,High,None,None,0,0,0,1
23,OK0BEA-Klasterec,"439,21250","431,61250",Analog,High,"88,5","88,5",0,0,0,1
24,OK0BEZ-Zatec,"439,27500","431,67500",Analog,High,"88,5","88,5",0,0,0,1
25,OK0BF-HolkyKopec,"439,27500","431,67500",Analog,High,None,"88,5",0,0,0,1
26,OK0BH-Devin,"439,00000","431,40000",Analog,High,"88,5","88,5",0,0,0,1
27,OK0BHD-Veselice,"438,97500","431,37500",Analog,High,"88,5","88,5",0,0,0,1
28,OK0BHJ-Karasin,"439,10000","431,50000",Analog,High,None,None,0,0,0,1
29,OK0BHS-Travicna,"439,25000","431,65000",Analog,High,"88,5","88,5",0,0,0,1
30,OK0BK-Kladno,"439,00000","431,40000",Analog,High,"88,5","88,5",0,0,0,1
31,OK0BKA-Knezeves,"439,42500","431,82500",Analog,High,"88,5","88,5",0,0,0,1
32,OK0BL-Cerchov,"439,30000","431,70000",Analog,High,None,"114,8",0,0,0,1
33,OK0BLI-Lipno,"439,10000","431,50000",Analog,High,"88,5","88,5",0,0,0,1
34,OK0BM-HutskaHora,"439,25000","431,65000",Analog,High,None,"88,5",0,0,0,1
35,OK0BNH-Cernolice,"438,62500","431,02500",Analog,High,"88,5","88,5",0,0,0,1
36,OK0BNJ-Kozlov,"438,77500","431,17500",Analog,High,"88,5","88,5",0,0,0,1
37,OK0BO-Pohorany,"439,02500","431,42500",Analog,High,"88,5","88,5",0,0,0,1
38,OK0BPL-PLzen,"438,67500","431,07500",Analog,High,"88,5","88,5",0,0,0,1
39,OK0BPT-Prachatice,"439,07500","431,47500",Analog,High,"88,5","88,5",0,0,0,1
40,OK0BR-Brdy,"438,72500","431,12500",Analog,High,None,77,0,0,0,1
41,OK0BRQ-Brno,"439,55000","431,95000",Analog,High,"88,5","88,5",0,0,0,1
42,OK0BS-Pardubice,"438,75000","431,15000",Analog,High,None,"118,8",0,0,0,1
43,OK0BZ-Znojmo,"439,20000","431,60000",Analog,High,67,67,0,0,0,1
44,OK0BZR-Vysoke,"439,40000","431,80000",Analog,High,None,"79,7",0,0,0,1
45,OK0C-CernaHora,"145,70000","145,10000",Analog,High,None,"136,5",0,0,0,1
46,OK0D-LysaHora,"145,65000","145,05000",Analog,High,None,"88,5",0,0,0,1
47,OK0DJ-Jested,"439,15000","431,55000",Analog,High,"88,5","88,5",0,0,0,1
48,OK0DOV-Ostrava,"439,48750","431,88750",Analog,High,None,"88,5",0,0,0,1
49,OK0DSK-Kubankov,"438,60000","431,00000",Analog,High,"88,5","88,5",0,0,0,1
50,OK0E-Klinovec,"145,65000","145,05000",Analog,High,None,None,0,0,0,1
51,OK0EB-Klet,"145,57500","144,97500",Analog,High,"88,5","88,5",0,0,0,1
52,OK0EB-Klet,"439,17500","431,57500",Analog,High,None,"88,5",0,0,0,1
53,OK0F-SuchyVrch,"145,77500","145,17500",Analog,High,None,"136,5",0,0,0,1
54,OK0H-Devin,"145,67500","145,07500",Analog,High,None,None,0,0,0,1
55,OK0K-Kladno,"145,75000","145,15000",Analog,High,"88,5","88,5",0,0,0,1
56,OK0L-Klatovy,"145,73750","145,13750",Analog,High,None,None,0,0,0,1
57,OK0MAR-Brno,"439,30000","431,70000",Analog,High,None,77,0,0,0,1
58,OK0MM-Kozlov,"145,62500","145,02500",Analog,High,"88,5","88,5",0,0,0,1
59,OK0N-Praha,"145,60000","145,00000",Analog,High,None,"88,5",0,0,0,1
60,OK0N-Praha,"438,95000","431,35000",Analog,High,None,None,0,0,0,1
61,OK0O-Pohorany,"145,60000","145,00000",Analog,High,"136,5","136,5",0,0,0,1
62,OK0OZL-Zlin,"145,63750","145,03750",Analog,High,"136,5","136,5",0,0,0,1
63,OK0OZL-Zlin,"438,72500","431,12500",Analog,High,"88,5","88,5",0,0,0,1
64,OK0PV-Prostejov,"439,22500","431,62500",Analog,High,"88,5","88,5",0,0,0,1
65,OK0Q-KutnaHora,"439,37500","431,77500",Analog,High,None,"118,8",0,0,0,1
66,OK0S-Pardubice,"145,78750","145,18750",Analog,High,None,"118,8",0,0,0,1
67,OK0T-Teplice,"145,78750","145,18750",Analog,High,None,"88,5",0,0,0,1
68,OK0T-Teplice,"438,80000","431,20000",Analog,High,None,"88,5",0,0,0,1
69,OK0X-Praded,"439,35000","431,75000",Analog,High,"88,5","88,5",0,0,0,1
70,OK0YSF-Kotvrdovice,"145,61250","145,01250",Analog,High,"71,9","71,9",0,0,0,1
71,OK0Z-KelcskyJavornik,"439,40000","431,80000",Analog,High,"88,5","88,5",0,0,0,1
72,OK0BAF-Svratouch,"438,60000","431,00000",Digital,High,None,None,1,1,1,1
73,OK0BAJ-Jihlava,"439,32500","431,72500",Digital,High,None,None,1,1,1,1
74,OK0BAP-Litomysl,"439,30000","431,70000",Digital,High,"88,5","88,5",1,1,1,1
75,OK0BCA-LisciHora,"438,87500","431,27500",Digital,High,"203,5","203,5",1,1,1,1
76,OK0BRQ-Brno,"439,55000","431,95000",Digital,High,"88,5","88,5",1,1,1,1
77,OK0BRT-VelkePopovice,"439,20000","446,80000",Digital,High,None,None,1,1,1,1
78,OK0DAS-Snezka,"438,30000","430,70000",Digital,High,None,None,1,1,1,1
79,OK0DBF-SuchyVrch,"438,35000","430,75000",Digital,High,None,None,1,1,1,1
80,OK0DBZ-Bezdez,"439,50000","431,90000",Digital,High,None,None,1,1,1,1
81,OK0DHD-Blansko,"438,45000","430,85000",Digital,High,None,None,1,1,1,1
82,OK0DIT-DevetKrizu,"438,63750","431,03750",Digital,High,None,None,1,1,1,1
83,OK0DMR-Praha,"439,47500","431,87500",Digital,High,None,None,1,1,1,1
84,OK0DRB-Plavec,"439,48750","431,88750",Digital,High,None,None,1,1,1,1
85,OK0DSJ-VelkyJavornik,"438,62500","431,02500",Digital,High,None,None,1,1,1,1
86,OK0DSL-StudLouc,"438,32500","430,72500",Digital,High,None,None,1,1,1,1
87,OK0ND-Praha,"439,02500","431,42500",Digital,High,None,None,1,1,1,1
88,OK0OMX-Praha,"439,52500","431,92500",Digital,High,None,None,1,1,1,1
89,OK0OZL-Zlin,"438,72500","431,12500",Digital,High,None,None,1,1,1,1
90,OK0Q-Pardubice,"439,37500","431,77500",Digital,High,None,None,1,1,1,1
91,OK0X-Praded,"439,35000","431,75000",Digital,High,"88,5","88,5",1,1,1,1
92,OK0XGD-Olomouc,"439,47500","431,87500",Digital,High,None,None,1,1,1,1
